...1,Date,Team,Acquired,Relinquished,Notes
29204,2/28/2019,Warriors,NA,Andre Iguodala,placed on IL with illness
29205,2/28/2019,Warriors,NA,Kevin Durant,placed on IL
29208,3/1/2019,Hawks,NA,John Collins (Martin),placed on IL with flu
29209,3/1/2019,Kings,NA,Marvin Bagley III,placed on IL with sprained left knee
29210,3/1/2019,Lakers,NA,Lance Stephenson,placed on IL with sprained toe
29212,3/2/2019,Bucks,NA,Malcolm Brogdon,placed on IL with right foot injury
29213,3/2/2019,Heat,NA,Hassan Whiteside,placed on IL with strained left hip
29218,3/2/2019,Pelicans,NA,Anthony Davis,placed on IL
29219,3/2/2019,Pistons,NA,Jon Leuer,placed on IL
29223,3/3/2019,Blazers,NA,Gary Trent Jr.,placed on IL
29224,3/3/2019,Cavaliers,NA,Ante Zizic,placed on IL with concussion
29225,3/3/2019,Celtics,NA,Guerschon Yabusele,placed on IL
29227,3/3/2019,Hawks,NA,Omari Spellman,placed on IL with sprained left ankle (out for season)
29229,3/3/2019,Pistons,NA,Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29232,3/4/2019,Heat,NA,Goran Dragic,placed on IL with strained left calf
29234,3/4/2019,Lakers,NA,Tyson Chandler,placed on IL with stiff neck
29235,3/4/2019,Nets,NA,Treveon Graham,placed on IL with sore back
29236,3/4/2019,Pelicans,NA,Jahlil Okafor,placed on IL with sprained left ankle
29240,3/5/2019,Magic,NA,Terrence Ross,placed on IL with left Achilles injury
29241,3/5/2019,Thunder,NA,Hamidou Diallo,placed on IL
29242,3/5/2019,Warriors,NA,Kevon Looney,placed on IL with pelvic injury
29243,3/5/2019,Warriors,NA,Klay Thompson,placed on IL with sore right knee
29245,3/6/2019,Celtics,NA,Kyrie Irving,placed on IL with left thigh injury
29246,3/6/2019,Hawks,NA,Dewayne Dedmon,placed on IL with bruised right knee
29249,3/6/2019,Lakers,NA,Kyle Kuzma,placed on IL with sprained right ankle
29251,3/6/2019,Mavericks,NA,Maximilian Kleber / Maxi Kleber,placed on IL with left knee injury
29254,3/6/2019,Pistons,NA,Zaur Pachulia / Zaza Pachulia,placed on IL with right Achilles injury
29255,3/6/2019,Spurs,NA,Jakob Poeltl,placed on IL with left hamstring injury
29258,3/8/2019,Cavaliers,NA,Matthew Dellavedova,placed on IL with concussion (out for season)
29263,3/8/2019,Hornets,NA,Bismack Biyombo,placed on IL with sprained left knee
29264,3/8/2019,Jazz,NA,Ricky Rubio,placed on IL with hip injury
29266,3/8/2019,Pelicans,NA,Jrue Holiday,placed on IL with strained lower abdominal (out for season)
29270,3/9/2019,Blazers,NA,Evan Turner,placed on IL with left knee injury
29271,3/9/2019,Blazers,NA,Gary Trent Jr.,placed on IL
29274,3/9/2019,Hawks,NA,Alex Poythress,placed on IL with sprained right ankle (out for season)
29275,3/9/2019,Hornets,NA,(William) Tony Parker,placed on IL
29276,3/9/2019,Hornets,NA,Michael Kidd-Gilchrist,placed on IL with strained left knee
29278,3/9/2019,Lakers,NA,Brandon Ingram,placed on IL with blood clot in right arm (out for season)
29281,3/10/2019,Magic,NA,Isaiah Briscoe,placed on IL with right knee injury
29282,3/10/2019,Mavericks,NA,Kostas Antetokounmpo,placed on IL
29284,3/10/2019,Pacers,NA,Tyreke Evans,placed on IL with illness
29286,3/10/2019,Pelicans,NA,E'Twaun Moore,placed on IL with bruised left quadricep (out for season)
29287,3/10/2019,Pistons,NA,Bruce Brown,placed on IL with sprained right ankle
29288,3/10/2019,Spurs,NA,Rudy Gay,placed on IL with illness
29290,3/10/2019,Timberwolves,NA,Andrew Wiggins,placed on IL with bruised left quadricep
29291,3/10/2019,Timberwolves,NA,Karl-Anthony Towns,placed on IL with right knee inflammation
29292,3/11/2019,Celtics,NA,Jayson Tatum,placed on IL with sore right shoulder
29293,3/11/2019,Hornets,NA,Marvin Williams,placed on IL with illness
29296,3/11/2019,Rockets,NA,Terrence Jones,placed on IL with illness
29298,3/12/2019,Blazers,NA,Rodney Hood,placed on IL with right hip injury
29301,3/12/2019,Bulls,NA,Zach LaVine,placed on IL with right knee injury
29302,3/12/2019,Cavaliers,NA,Larry Nance Jr.,placed on IL with rib injury
29303,3/12/2019,Lakers,NA,Lance Stephenson,placed on IL with sprained toe
29305,3/12/2019,Timberwolves,NA,Jeff Teague,placed on IL with left foot injury (out for season)
29310,3/13/2019,Nets,NA,DeMarre Carroll,placed on IL with hyperextended left knee
29315,3/13/2019,Warriors,NA,Kevin Durant,placed on IL with sprained right ankle
29316,3/14/2019,Celtics,NA,Daniel Theis,placed on IL with illness
29317,3/14/2019,Celtics,NA,Terry Rozier,placed on IL with illness
29320,3/14/2019,Nuggets,NA,Torrey Craig,placed on IL with sprained left shoulder
29322,3/14/2019,Raptors,NA,Kyle Lowry,placed on IL with sprained left ankle
29323,3/14/2019,Timberwolves,NA,Derrick Rose,placed on IL with sore right elbow
29325,3/15/2019,76ers,NA,Zhaire Smith,placed on IL
29326,3/15/2019,Blazers,NA,Gary Trent Jr.,placed on IL
29327,3/15/2019,Blazers,NA,Maurice Harkless / Moe Harkless,placed on IL with left knee injury
29330,3/15/2019,Hornets,NA,Cody Zeller,placed on IL with sore left knee (out for season)
29331,3/15/2019,Hornets,NA,Shelvin Mack,placed on IL
29335,3/15/2019,Knicks,NA,Dennis Smith Jr.,placed on IL with sore lower back
29336,3/15/2019,Knicks,NA,Mario Hezonja,placed on IL with bruised left leg
29339,3/15/2019,Lakers,NA,LeBron James,placed on IL
29341,3/15/2019,Pistons,NA,Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29344,3/16/2019,Celtics,NA,Guerschon Yabusele,placed on IL with illness
29347,3/16/2019,Jazz,NA,Dante Exum,placed on IL with right knee injury (out for season)
29348,3/16/2019,Jazz,NA,Thabo Sefolosha,placed on IL with left hamstring injury
29349,3/16/2019,Mavericks,NA,Luka Doncic,placed on IL with bruised right knee
29351,3/16/2019,Nets,NA,NA,activated from IL
29352,3/16/2019,Nets,NA,Allen Crabbe,placed on IL with sore right knee (out for season)
29353,3/16/2019,Nets,NA,Shabazz Napier,placed on IL with right hamstring injury
29360,3/17/2019,Bucks,NA,Malcolm Brogdon,placed on IL with right foot injury
29361,3/17/2019,Heat,NA,Justise Winslow,placed on IL with bruised right thigh
29362,3/17/2019,Knicks,NA,Noah Vonleh,placed on IL with sprained right ankle (out for season)
29363,3/17/2019,Lakers,NA,Lance Stephenson,placed on IL with sprained toe
29365,3/17/2019,Nets,NA,Alan Williams,placed on IL
29369,3/18/2019,Blazers,NA,C.J. McCollum,placed on IL with left knee injury
29371,3/18/2019,Bulls,NA,Otto Porter Jr.,placed on IL with strained rotator cuff in right shoulder (out for season)
29372,3/18/2019,Celtics,NA,Gordon Hayward,placed on IL with concussion
29374,3/18/2019,Heat,NA,Rodney McGruder,placed on IL with sore left knee
29376,3/18/2019,Mavericks,NA,Kostas Antetokounmpo,placed on IL
29378,3/18/2019,Pistons,NA,Blake Griffin,placed on IL
29380,3/18/2019,Suns,NA,Kelly Oubre Jr.,placed on IL with sprained left thumb (out for season)
29381,3/18/2019,Suns,NA,Richaun Holmes,placed on IL with strained right quadriceps
29382,3/18/2019,Warriors,NA,Andre Iguodala,placed on IL with dental ailment
29383,3/18/2019,Warriors,NA,DeMarcus Cousins,placed on IL with sore right ankle
29385,3/18/2019,Celtics,NA,Robert Williams III,placed on IL with illness
29386,3/19/2019,Bucks,NA,Pau Gasol,placed on IL with sore left ankle (out for season)
29388,3/19/2019,Hornets,NA,(William) Tony Parker,placed on IL
29390,3/19/2019,Lakers,NA,LeBron James,placed on IL with left groin injury
29392,3/19/2019,Nets,NA,Shabazz Napier,placed on IL with illness
29393,3/19/2019,Pacers,NA,Darren Collison,placed on IL with bruised right quadriceps
29394,3/19/2019,Timberwolves,NA,Derrick Rose,placed on IL with sore right elbow (out for season)
29396,3/20/2019,Bucks,NA,Nikola Mirotic,placed on IL with fractured left thumb
29399,3/20/2019,Grizzlies,NA,C.J. Miles,placed on IL with left foot injury (out for season)
29400,3/20/2019,Knicks,NA,Allonzo Trier,placed on IL with strained left calf (out for season)
29401,3/20/2019,Mavericks,NA,Maximilian Kleber / Maxi Kleber,placed on IL with sprained left wrist
29403,3/20/2019,Raptors,NA,Kyle Lowry,placed on IL with sprained right ankle
29404,3/20/2019,Wizards,NA,Jordan McRae,placed on IL
29406,3/21/2019,Mavericks,NA,Tim Hardaway Jr.,placed on IL with tibia injury (out for season)
29409,3/21/2019,Suns,NA,Tyler Johnson,placed on IL with sore right knee (out for season)
29412,3/22/2019,Grizzlies,NA,Avery Bradley,placed on IL with right shin injury (out for season)
29414,3/22/2019,Lakers,NA,Josh Hart,placed on IL with right knee tendinitis (out for season)
29415,3/22/2019,Lakers,NA,Mike Muscala,placed on IL with sore right ankle
29418,3/22/2019,Magic,NA,Melvin Frazier Jr.,placed on IL
29420,3/23/2019,Celtics,NA,Al Horford,placed on IL with sore left knee
29421,3/23/2019,Celtics,NA,Aron Baynes,placed on IL with sprained left ankle
29422,3/23/2019,Hornets,NA,Nicolas Batum,placed on IL with illness
29423,3/23/2019,Kings,NA,Harry Giles III,placed on IL with left thigh injury (out for season)
29424,3/23/2019,Mavericks,NA,Salah Mejri,placed on IL with illness
29425,3/23/2019,Suns,NA,Josh Jackson,placed on IL with sprained right ankle
29426,3/23/2019,Warriors,NA,Stephen Curry,placed on IL
29427,3/23/2019,Wizards,NA,Trevor Ariza,placed on IL with strained left groin
29429,3/24/2019,Celtics,NA,Jayson Tatum,placed on IL with bruised lower back
29430,3/24/2019,Celtics,NA,Robert Williams III,placed on IL with bruised lower back
29433,3/24/2019,Lakers,NA,Reggie Bullock,placed on IL with right foot injury
29436,3/24/2019,Warriors,NA,DeMarcus Cousins,placed on IL
29439,3/25/2019,76ers,NA,Ben Simmons,placed on IL with gastroenteritis
29440,3/25/2019,76ers,NA,James Ennis III,placed on IL with bruised right quadriceps
29441,3/25/2019,Grizzlies,NA,Joakim Noah,placed on IL with sore right knee (out for season)
29442,3/26/2019,Bucks,NA,Tony Snell,placed on IL with sprained left ankle
29445,3/26/2019,Clippers,NA,Landry Shamet,placed on IL with left ankle injury
29446,3/26/2019,Hornets,NA,Michael Kidd-Gilchrist,placed on IL with concussion
29448,3/26/2019,Mavericks,NA,Kostas Antetokounmpo,placed on IL
29450,3/26/2019,Pistons,NA,Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL
29451,3/26/2019,Rockets,NA,Gerald Green (b. 1986-01-26),placed on IL with strained left adductor
29452,3/26/2019,Rockets,NA,Kenneth Faried,placed on IL with sore left knee
29455,3/27/2019,Blazers,NA,Jusuf Nurkic,placed on IL with fractured lower left leg (out for season)
29456,3/27/2019,Bulls,NA,Lauri Markkanen,placed on IL with fatigue (out for season)
29457,3/27/2019,Bulls,NA,Zach LaVine,placed on IL with bruised right thigh (out for season)
29458,3/27/2019,Lakers,NA,LeBron James,placed on IL
29459,3/27/2019,Lakers,NA,Tyson Chandler,placed on IL with illness
29461,3/27/2019,Pacers,NA,Alize Johnson,placed on IL
29464,3/28/2019,Bucks,NA,Donte DiVincenzo,placed on IL with heel injury (out for season)
29465,3/28/2019,Clippers,NA,Patrick Beverley,placed on IL with hright hip pointer
29468,3/28/2019,Raptors,NA,Ogugua Anunoby / O.G. Anunoby,placed on IL with concussion
29469,3/28/2019,Rockets,NA,Isaiah Hartenstein,placed on IL
29474,3/29/2019,Hawks,NA,Taurean Prince,placed on IL with foot injury
29476,3/29/2019,Knicks,NA,Frank Ntilikina,placed on IL with groin injury (out for season)
29478,3/29/2019,Wizards,NA,Trevor Ariza,placed on IL with strained left groin (out for season)
29480,3/30/2019,Celtics,NA,Al Horford,placed on IL with sore left knee
29481,3/30/2019,Celtics,NA,Kyrie Irving,placed on IL with sore lower back
29482,3/30/2019,Clippers,NA,Danilo Gallinari,placed on IL with sore left ankle
29484,3/30/2019,Raptors,NA,Patrick McCaw,placed on IL with sprained right thumb
29485,3/30/2019,Suns,NA,Richaun Holmes,placed on IL with migraine headache
29488,3/31/2019,Hawks,NA,Dewayne Dedmon,placed on IL with sore left ankle (out for season)
29489,3/31/2019,Kings,NA,Marvin Bagley III,placed on IL with illness
29490,3/31/2019,Lakers,NA,LeBron James,placed on IL with left groin injury (out for season)
29491,3/31/2019,Mavericks,NA,Luka Doncic,placed on IL with bruised right thigh
29493,4/1/2019,76ers,NA,Jimmy Butler,placed on IL with back injury
29494,4/1/2019,Celtics,NA,Jaylen Brown,placed on IL with lower back spasms
29497,4/1/2019,Jazz,NA,Derrick Favors,placed on IL with back spasms
29498,4/1/2019,Jazz,NA,Kyle Korver,placed on IL with sore right knee
29499,4/1/2019,Knicks,NA,Dennis Smith Jr.,placed on IL with sore lower back
29500,4/1/2019,Mavericks,NA,Kostas Antetokounmpo,placed on IL
29501,4/1/2019,Pacers,NA,Darren Collison,placed on IL with groin injury
29502,4/1/2019,Pacers,NA,Wesley Matthews / Wes Matthews Jr.,placed on IL with strained right hamstring
29503,4/1/2019,Pistons,NA,Blake Griffin,placed on IL with sore left knee
29504,4/1/2019,Pistons,NA,Luke Kennard,placed on IL with sore right foot
29506,4/1/2019,Suns,NA,Deandre Ayton,placed on IL with sprained left ankle (out for season)
29511,4/3/2019,Celtics,NA,Marcus Morris,placed on IL with sore left knee
29512,4/3/2019,Clippers,NA,Patrick Beverley,placed on IL with right hip pointer
29513,4/3/2019,Grizzlies,NA,Jonas Valanciunas,placed on IL with sprained right ankle (out for season)
29515,4/3/2019,Heat,NA,Derrick Jones Jr.,placed on IL with right knee injury
29518,4/3/2019,Hornets,NA,Marvin Williams,placed on IL with right foot injury
29519,4/3/2019,Jazz,NA,Jae Crowder,placed on IL with bruised right quadriceps
29520,4/3/2019,Jazz,NA,Ricky Rubio,placed on IL with right hamstring injury
29521,4/3/2019,Knicks,NA,Kadeem Allen,placed on IL with concussion (out for season)
29522,4/3/2019,Mavericks,NA,Dorian Finney-Smith,placed on IL with mouth injury
29525,4/3/2019,Pistons,NA,Sviatoslav Mykhailiuk / Svi Mykhailiuk,placed on IL (out for season)
29527,4/3/2019,Timberwolves,NA,Taj Gibson,placed on IL with strained left calf
29528,4/4/2019,76ers,NA,James Ennis III,placed on IL with bruised right quadriceps (out for season)
29529,4/4/2019,76ers,NA,Jimmy Butler,placed on IL with back injury
29530,4/4/2019,Lakers,NA,Kyle Kuzma,placed on IL with left foot injury (out for season)
29532,4/4/2019,Warriors,NA,Andre Iguodala,placed on IL with toe injury
29534,4/5/2019,Hawks,NA,Kent Bazemore,placed on IL with strained left adductor
29535,4/5/2019,Heat,NA,Josh Richardson,placed on IL with strained left hip (out for season)
29537,4/5/2019,Jazz,NA,Raulzinho Neto / Raul Neto,placed on IL with sore left ankle
29540,4/5/2019,Mavericks,NA,Luka Doncic,placed on IL with bruised right thigh
29545,4/5/2019,Spurs,NA,Marco Belinelli,placed on IL with sore left hip
29546,4/7/2019,Blazers,NA,Gary Trent Jr.,placed on IL with gastroenteritis
29548,4/7/2019,Celtics,NA,Guerschon Yabusele,placed on IL
29551,4/7/2019,Jazz,NA,Ricky Rubio,placed on IL with bruised left quadricep
29552,4/7/2019,Kings,NA,Kosta Koufos,placed on IL with strained left calf (out for season)
29553,4/7/2019,Knicks,NA,Emmanuel Mudiay,placed on IL with sore left shoulder (out for season)
29556,4/7/2019,Mavericks,NA,Maximilian Kleber / Maxi Kleber,placed on IL with bruised right knee
29557,4/7/2019,Pacers,NA,Tyreke Evans,placed on IL with sore right knee
29561,4/9/2019,76ers,NA,(James) Mike Scott,placed on IL with tightness in lower back
29562,4/9/2019,76ers,NA,J.J. Redick,placed on IL with back injury
29563,4/9/2019,76ers,NA,Joel Embiid,placed on IL with sore left knee
29566,4/9/2019,Celtics,NA,Al Horford,placed on IL with sore left knee
29567,4/9/2019,Celtics,NA,Aron Baynes,placed on IL with sore left ankle
29568,4/9/2019,Celtics,NA,Gordon Hayward,placed on IL with sore left ankle
29569,4/9/2019,Celtics,NA,Kyrie Irving,placed on IL with bruised right knee
29570,4/9/2019,Celtics,NA,Marcus Morris,placed on IL with right knee injury
29571,4/9/2019,Celtics,NA,Marcus Smart,placed on IL with torn left oblique
29575,4/9/2019,Knicks,NA,Lance Thomas,placed on IL for personal reasons
29576,4/9/2019,Lakers,NA,Lance Stephenson,placed on IL with sore left foot (out for season)
29577,4/9/2019,Mavericks,NA,Courtney Lee,placed on IL with bruised left hip
29581,4/9/2019,Warriors,NA,Kevin Durant,placed on IL with flu
29582,4/9/2019,Warriors,NA,Klay Thompson,placed on IL with sore right knee
29583,4/10/2019,76ers,NA,Ben Simmons,placed on IL with dental ailment
29584,4/10/2019,76ers,NA,Jimmy Butler,placed on IL with tightness in lower back
29587,4/10/2019,Bulls,NA,Kris Dunn,placed on IL with strained back (out for season)
29589,4/10/2019,Hornets,NA,Marvin Williams,placed on IL (out for season)
29590,4/10/2019,Jazz,NA,Donovan Mitchell,placed on IL with thoracic spasm (out for season)
29591,4/10/2019,Jazz,NA,Rudy Gobert,placed on IL with sore left ankle (out for season)
29592,4/10/2019,Magic,NA,Jonathan Isaac,placed on IL with concussion
29593,4/10/2019,Mavericks,NA,Maximilian Kleber / Maxi Kleber,placed on IL with sore left knee (out for season)
29595,4/10/2019,Nets,NA,DeMarre Carroll,placed on IL with sprained right wrist
29596,4/10/2019,Nets,NA,Joe Harris,placed on IL with sore right foot
29598,4/10/2019,Pacers,NA,Myles Turner,placed on IL with sore right ankle
29599,4/10/2019,Pacers,NA,Wesley Matthews / Wes Matthews Jr.,placed on IL with toe injury
29601,4/10/2019,Pistons,NA,Blake Griffin,placed on IL with sore left knee
29602,4/10/2019,Spurs,NA,Dante Cunningham,placed on IL with illness (out for season)
29603,4/10/2019,Thunder,NA,Paul George,placed on IL with sore right shoulder
29604,4/10/2019,Timberwolves,NA,Jerryd Bayless,placed on IL with right ankle injury (out for season)
29605,4/10/2019,Timberwolves,NA,Karl-Anthony Towns,placed on IL with right knee inflammation (out for season)
29606,4/10/2019,Warriors,NA,Draymond Green,placed on IL with sore left knee
29607,4/10/2019,Warriors,NA,Shaun Livingston,placed on IL with sore left knee
29608,4/10/2019,Warriors,NA,Stephen Curry,placed on IL with sprained right ankle
29628,4/13/2019,Raptors,NA,Ogugua Anunoby / O.G. Anunoby,placed on IL with appendectomy
29639,4/15/2019,76ers,NA,Zhaire Smith,placed on IL
29641,4/15/2019,Nets,NA,Jared Dudley,placed on IL with right calf injury
29642,4/16/2019,Thunder,NA,Hamidou Diallo,placed on IL with sore right elbow (out for season)
29644,4/18/2019,Warriors,NA,DeMarcus Cousins,placed on IL with torn left quadriceps
29645,4/19/2019,Raptors,NA,Chris Boucher,placed on IL with back spasms
29647,4/20/2019,Nets,NA,Ed Davis (Adam),placed on IL with right ankle injury (out for season)
29649,4/21/2019,Celtics,NA,Guerschon Yabusele,placed on IL with sore lower back
29650,4/27/2019,76ers,NA,(James) Mike Scott,placed on IL with right foot injury
29653,4/28/2019,Rockets,NA,Austin Rivers,placed on IL with illness
29654,4/29/2019,76ers,NA,Zhaire Smith,placed on IL (out for season)
29657,5/2/2019,Raptors,NA,Jeremy Lin,placed on IL with back spasms
29660,5/6/2019,Rockets,NA,Danuel House Jr.,placed on IL with toe injury
29662,5/10/2019,Warriors,NA,Kevin Durant,placed on IL with strained right calf
29665,5/20/2019,Warriors,NA,Andre Iguodala,placed on IL with left calf injury
29669,6/5/2019,Warriors,NA,Kevon Looney,placed on IL with fractured collarbone
29672,6/13/2019,Warriors,NA,Kevin Durant,placed on IL with torn right Achilles tendon (out for season)
29673,7/1/2019,76ers,NA,Amir Johnson,placed on IL
29674,10/1/2019,Wizards,NA,John Wall (Hildred),placed on IL recovering from torn left Achilles tendon (out for season)
29675,10/21/2019,Raptors,NA,Patrick McCaw,placed on IL with sore left knee
29676,10/21/2019,Raptors,NA,Rondae Hollis-Jefferson,placed on IL with left groin injury
29677,10/22/2019,Clippers,NA,Paul George,placed on IL with right shoulder injury
29678,10/22/2019,Clippers,NA,Rodney McGruder,placed on IL with sprained right ankle
29679,10/22/2019,Lakers,NA,DeMarcus Cousins,placed on IL recovering from surery on left knee to repair torn ACL
29680,10/22/2019,Lakers,NA,Kyle Kuzma,placed on IL with stress reaction in left ankle/foot
29681,10/22/2019,Lakers,NA,Rajon Rondo,placed on IL with right calf injury
29682,10/22/2019,Pelicans,NA,Zion Williamson,placed on IL recovering from surgery on right knee to repair torn meniscus
29683,10/22/2019,Suns,NA,Cameron Johnson,placed on IL with left calf injury
29684,10/23/2019,76ers,NA,Zhaire Smith,placed on IL
29685,10/23/2019,Blazers,NA,Jusuf Nurkic,placed on IL
29686,10/23/2019,Blazers,NA,Pau Gasol,placed on IL with left foot injury
29687,10/23/2019,Bulls,NA,Adam Mokoka,placed on IL
29688,10/23/2019,Bulls,NA,Chandler Hutchison,placed on IL with strained left hamstring
29689,10/23/2019,Bulls,NA,Cristiano Felicio,placed on IL
29690,10/23/2019,Bulls,NA,Max Strus,placed on IL
29691,10/23/2019,Cavaliers,NA,Ante Zizic,placed on IL with left foot injury
29692,10/23/2019,Cavaliers,NA,John Henson,placed on IL with sprained right ankle
29693,10/23/2019,Celtics,NA,Romeo Langford,placed on IL with sore right knee
29694,10/23/2019,Grizzlies,NA,Andre Iguodala,placed on IL
29695,10/23/2019,Heat,NA,Dion Waiters,placed on IL
29696,10/23/2019,Heat,NA,James Johnson,placed on IL for conditioning
29697,10/23/2019,Heat,NA,Udonis Haslem,placed on IL with sprained left wrist (DTD)
29698,10/23/2019,Jazz,NA,Dante Exum,placed on IL with right knee injury
29699,10/23/2019,Kings,NA,Harry Giles III,placed on IL with sore left knee
29700,10/23/2019,Knicks,NA,Kadeem Allen,placed on IL with sore right knee
29701,10/23/2019,Knicks,NA,Mitchell Robinson,placed on IL with sprained right ankle
29702,10/23/2019,Knicks,NA,Reggie Bullock,placed on IL with surgery on neck
29703,10/23/2019,Mavericks,NA,Dwight Powell,placed on IL with strained left hamstring
29704,10/23/2019,Mavericks,NA,Ryan Broekhoff,placed on IL with sprained right ankle
29705,10/23/2019,Nets,NA,Nicolas Claxton / Nic Claxton,placed on IL
29706,10/23/2019,Nuggets,NA,Bol Bol,placed on IL with left foot injury
29707,10/23/2019,Pistons,NA,Blake Griffin,placed on IL with left hamstring injury
29708,10/23/2019,Pistons,NA,Jordan Bone,placed on IL
29709,10/23/2019,Pistons,NA,Sekou Doumbouya,placed on IL
29710,10/23/2019,Suns,NA,Jalen Lecque,placed on IL
29711,10/23/2019,Suns,NA,Ty Jerome,placed on IL with sprained right ankle
29712,10/23/2019,Thunder,NA,Andre Roberson,placed on IL with left knee injury
29713,10/23/2019,Timberwolves,NA,Keita Bates-Diop,placed on IL
29714,10/23/2019,Timberwolves,NA,Naz Reid,placed on IL with sore right shoulder
29715,10/23/2019,Wizards,NA,C.J. Miles,placed on IL with left foot injury
29716,10/23/2019,Wizards,NA,Ian Mahinmi,placed on IL with right Achilles injury
29717,10/23/2019,Wizards,NA,Troy Brown Jr.,placed on IL with strained left calf
29718,10/24/2019,Bucks,NA,Dragan Bender,placed on IL
29719,10/24/2019,Bucks,NA,Frank Mason,placed on IL
29720,10/24/2019,Hawks,NA,Allen Crabbe,placed on IL with right knee injury
29721,10/24/2019,Hawks,NA,Chandler Parsons,placed on IL with knee injury
29722,10/24/2019,Rockets,NA,Nene / Nene Hilario / Maybyner Hilario,placed on IL with adductor injury
29723,10/24/2019,Warriors,NA,Alec Burks,placed on IL with sprained right ankle
29724,10/24/2019,Warriors,NA,Willie Cauley-Stein,placed on IL with left foot injury
29725,10/25/2019,Celtics,NA,Enes Kanter / Enes Freedom,placed on IL with bruised left knee
29726,10/25/2019,Hornets,NA,Nicolas Batum,placed on IL with fractured finger
29727,10/25/2019,Jazz,NA,Bojan Bogdanovic,placed on IL with sprained left ankle
29728,10/25/2019,Kings,NA,Marvin Bagley III,placed on IL with fractured right thumb
29730,10/25/2019,Mavericks,NA,Isaiah Roby,placed on IL
29732,10/26/2019,76ers,NA,Joel Embiid,placed on IL with sprained right ankle
29734,10/26/2019,Celtics,NA,Daniel Theis,placed on IL with sprained left ankle
29735,10/26/2019,Celtics,NA,Tacko Fall,placed on IL with concussion
29739,10/26/2019,Pacers,NA,Jeremy Lamb,placed on IL with right hip pointer
29740,10/26/2019,Pelicans,NA,Jrue Holiday,placed on IL with sprained left knee
29741,10/26/2019,Pistons,NA,Reggie Jackson (Shon),placed on IL with back injury
29744,10/26/2019,Suns,NA,Ricky Rubio,placed on IL with bruised left knee
29746,10/27/2019,Heat,NA,Derrick Jones Jr.,placed on IL with strained left groin
29747,10/27/2019,Warriors,NA,Kevon Looney,placed on IL with neuropathy
29749,10/28/2019,Blazers,NA,Zach Collins,placed on IL with left shoulder injury
29750,10/28/2019,Cavaliers,NA,John Henson,placed on IL with strained right hamstring
29751,10/28/2019,Pistons,NA,Jordan Bone,placed on IL
29754,10/28/2019,Suns,NA,Jared Harper,placed on IL
29755,10/29/2019,Hawks,NA,Evan Turner,placed on IL with left Achilles injury
29756,10/29/2019,Knicks,NA,Elfrid Payton,placed on IL with strained right hamstring
29757,10/29/2019,Mavericks,NA,Ryan Broekhoff,placed on IL
29760,10/30/2019,76ers,NA,Shake Milton,placed on IL with left knee injury
29761,10/30/2019,Celtics,NA,Jaylen Brown,placed on IL with illness
29764,10/30/2019,Clippers,NA,Kawhi Leonard,placed on IL
29766,10/30/2019,Pacers,NA,Edmond Sumner,placed on IL with fractured right hand
29768,10/30/2019,Thunder,NA,Steven Adams,placed on IL with bruised left knee
29769,10/30/2019,Warriors,NA,Jacob Evans,placed on IL with strained left adductor
29772,10/31/2019,Cavaliers,NA,Matthew Dellavedova,placed on IL for personal reasons (birth of child)
29774,10/31/2019,Hawks,NA,Trae Young,placed on IL with sprained right ankle
29775,10/31/2019,Heat,NA,K.Z. Okpala,placed on IL with left Achilles injury
29777,10/31/2019,Nuggets,NA,Will Barton,placed on IL with toe injury
29779,11/1/2019,Bucks,NA,Kyle Korver,placed on IL
29780,11/1/2019,Celtics,NA,Robert Williams III,placed on IL with sore left hip
29783,11/1/2019,Magic,NA,Michael Carter-Williams,placed on IL with bruised left hip
29784,11/1/2019,Pacers,NA,Myles Turner,placed on IL with sprained right ankle
29785,11/1/2019,Warriors,NA,Stephen Curry,placed on IL with fractured left hand
29787,11/2/2019,Jazz,NA,Ed Davis (Adam),placed on IL with fractured fibula in left leg
29788,11/2/2019,Magic,NA,Melvin Frazier Jr.,placed on IL with bruised left shoulder
29789,11/2/2019,Pistons,NA,Tim Frazier,placed on IL with strained right shoulder
29791,11/2/2019,Wizards,NA,Jordan McRae,placed on IL with fractured finger
29794,11/3/2019,Jazz,NA,Emmanuel Mudiay,placed on IL with left hamstring injury
29795,11/3/2019,Mavericks,NA,Maximilian Kleber / Maxi Kleber,placed on IL with bruised right knee
29797,11/3/2019,Pacers,NA,Domantas Sabonis,placed on IL with left calf injury
29798,11/4/2019,Blazers,NA,Zach Collins,placed on IL with surgery on left shoulder
29799,11/4/2019,Grizzlies,NA,Grayson Allen,placed on IL with sore left ankle
29800,11/4/2019,Grizzlies,NA,Jaren Jackson Jr.,placed on IL with sore right knee
29802,11/4/2019,Pistons,NA,Derrick Rose,placed on IL with right hamstring injury
29805,11/5/2019,Celtics,NA,Romeo Langford,placed on IL with illness
29808,11/5/2019,Heat,NA,Dion Waiters,placed on IL
29811,11/5/2019,Nuggets,NA,Vlatko Cancar,placed on IL
29816,11/6/2019,Clippers,NA,Kawhi Leonard,placed on IL
29818,11/6/2019,Magic,NA,Terrence Ross,placed on IL with sore right knee
29819,11/6/2019,Mavericks,NA,Ryan Broekhoff,placed on IL
